Frequency,Amplitude
320.5,0.0106129
321,0.00197773
321.5,0.0035855
322,0.00178073
322.5,0.00111433
323,0.00262616
323.5,0.0015024
324,0.00142591
324.5,0.0014232
325,0.00178995
325.5,0.00157765
326,0.00213415
326.5,0.00238857
327,0.00123437
327.5,0.0019366
328,0.00320026
328.5,0.00391713
329,0.000788385
329.5,0.00263369
330,0.00107673
330.5,0.00492278
331,0.00634084
331.5,0.00403326
332,0.00366976
332.5,0.00273018
333,0.00255085
333.5,0.0012055
334,0.00365327
334.5,0.00264229
335,0.00392707
335.5,0.00296713
336,0.00141116
336.5,0.00214403
337,0.00085359
337.5,0.00183912
338,0.00368071
338.5,0.0035919
339,0.00145932
339.5,0.00332662
340,0.00148089
340.5,0.00299494
341,0.00293328
341.5,0.00423916
342,0.0046763
342.5,0.00708986
343,0.00993644
343.5,0.00257603
344,0.00360331
344.5,0.0023035
345,0.0046564
345.5,0.00181246
346,0.00509179
346.5,0.0032509
347,0.000747637
347.5,0.00033187
348,0.00292023
348.5,0.00390754
349,0.00271141
349.5,0.000862797
350,0.00145653
350.5,0.00193527
351,0.00106958
351.5,0.00386653
352,0.00541403
352.5,0.00226251
353,0.00469191
353.5,0.00896573
354,0.00679002
354.5,0.00122467
355,0.0014322
355.5,0.00328781
356,0.0018018
356.5,0.00185774
357,0.00139623
357.5,0.00140029
358,0.00296945
358.5,0.000892018
359,0.00191669
359.5,0.00435651
360,0.00160746
360.5,0.00367268
361,0.000695924
361.5,0.00292996
362,0.0025849
362.5,0.00122999
363,0.00151906
363.5,0.00201533
364,0.00412021
364.5,0.00126936
365,0.00538248
365.5,0.00270984
366,0.00212643
366.5,0.00231763
367,0.00335548
367.5,0.00116935
368,0.00344229
368.5,0.00323352
369,0.00191975
369.5,0.00102757
370,0.00177204
370.5,0.00175572
371,0.00139805
371.5,0.00464159
372,0.00322208
372.5,0.00534427
373,0.00616662
373.5,0.00450334
374,0.0116665
374.5,0.00573038
375,0.00584344
375.5,0.00715131
376,0.0175081
376.5,0.00951142
377,0.00729165
377.5,0.00775625
378,0.00129994
378.5,0.00436082
379,0.00488244
379.5,0.00475592
380,0.00307833
380.5,0.00510701
381,0.00322665
381.5,0.00339721
382,0.00579815
382.5,0.00388328
383,0.00290743
383.5,0.00865601
384,0.00685947
384.5,0.00434272
385,0.00401922
385.5,0.00787557
386,0.00161142
386.5,0.00738431
387,0.0121049
387.5,0.00658096
388,0.00326191
388.5,0.00352096
389,0.00717311
389.5,0.00383884
390,0.00224473
390.5,0.000700233
391,0.00247752
391.5,0.0031569
392,0.00711987
392.5,0.00494478
393,0.00522611
393.5,0.00313342
394,0.00297815
394.5,0.00513295
395,0.00809576
395.5,0.0087593
396,0.00882326
396.5,0.00461827
397,0.00555549
397.5,0.0040312
398,0.00289689
398.5,0.00696138
399,0.0101381
399.5,0.0144474
400,0.0131343
400.5,0.00571273
401,0.00486793
401.5,0.00713688
402,0.00906752
402.5,0.0109365
403,0.0101883
403.5,0.00911795
404,0.0057461
404.5,0.00442423
405,0.00164766
405.5,0.00399999
406,0.00589766
406.5,0.00665049
407,0.0089446
407.5,0.00563266
408,0.00737223
408.5,0.0106962
409,0.0109124
409.5,0.0062487
410,0.00145818
410.5,0.000511046
411,0.000722016
411.5,0.00202587
412,0.00388024
412.5,0.00551721
413,0.00690652
413.5,0.00305283
414,0.00325325
414.5,0.00617602
415,0.00225499
415.5,0.00266439
416,0.00689584
416.5,0.00790109
417,0.003861
417.5,0.00263006
418,0.00605222
418.5,0.00604511
419,0.00615427
419.5,0.00213292
420,0.0038524
420.5,0.0027135
421,0.00391039
421.5,0.00525212
422,0.00460592
422.5,0.00314508
423,0.0034122
423.5,0.00620412
424,0.00708696
424.5,0.0036222
425,0.00471641
425.5,0.00589529
426,0.00622134
426.5,0.00385794
427,0.00419512
427.5,0.00511782
428,0.00483369
428.5,0.00237857
429,0.00226266
429.5,0.00103663
430,0.0036308
430.5,0.00140093
431,0.00592981
431.5,0.00466697
432,0.00570752
432.5,0.00467531
433,0.00191692
433.5,0.00213079
434,0.00289215
434.5,0.00253365
435,0.00613677
435.5,0.00456945
436,0.00456936
436.5,0.00947308
437,0.0074676
